case,solver,setting,unit,relative_l2,vector_rmse,max_vector_difference,elapsed_s
magnetic_block_orbital,direct,refine_1,nt,0.0012327388112857497,0.08586211586017245,0.13866010242717372,0.015397000010125339
magnetic_block_orbital,direct,refine_2,nt,0.00031531428621696834,0.021962115192342434,0.03485835141755429,0.014242250006645918
magnetic_block_orbital,direct,refine_4,nt,0.00011858834807174921,0.008259857147827513,0.014558330131082252,0.015516292012762278
magnetic_block_orbital,spectral,degree_4,nt,1.0013435243438835,69.74508542760427,117.44985839454166,0.12711808300809935
magnetic_block_orbital,spectral,degree_8,nt,1.0036602894010644,69.90645160504539,117.75357893502817,0.12875062500825152
magnetic_block_orbital,spectral,degree_12,nt,1.0023898095271198,69.81796076729778,117.6213048806183,0.15974258299684152
magnetic_block_orbital,spectral,degree_24,nt,0.809705718443265,56.39722346139738,90.7264787597139,1.3955612909630872
magnetic_concave_polygon_orbital,gauss_legendre,order_4,nt,0.003383263542907649,0.1711340779620803,0.6171062936536935,0.016738792008254677
magnetic_concave_polygon_orbital,gauss_legendre,order_8,nt,2.7339490789845667e-06,0.00013829010034057337,0.0006211170387355781,0.016612542036455125
magnetic_concave_polygon_orbital,gauss_legendre,order_16,nt,1.2467887143536167e-12,6.306574534866435e-11,3.3746392522023e-10,0.01768129103584215
magnetic_concave_polygon_orbital,gauss_legendre,order_32,nt,1.5313898690694542e-15,7.746159585854811e-14,1.59619185532887e-13,0.0279945419752039
magnetic_concave_polygon_orbital,gauss_legendre,order_64,nt,7.479855219026807e-16,3.783501078068242e-14,1.0253749628689812e-13,0.10577262501465157
magnetic_concave_polygon_orbital,gauss_legendre,order_8_panels_4,nt,5.5099050348477385e-15,2.7870501539082446e-13,6.693071193179304e-13,0.025623083987738937
magnetic_concave_polygon_orbital,direct,refine_1,nt,0.7410549406514686,37.48444434767313,72.88904127585691,0.013810875010676682
magnetic_concave_polygon_orbital,direct,refine_2,nt,0.7404536351816683,37.454028787122574,72.82638372423386,0.013642790960147977
magnetic_concave_polygon_orbital,direct,refine_4,nt,0.7402990126248973,37.44620758479837,72.81035240645481,0.014018333982676268
magnetic_concave_polygon_orbital,spectral,degree_4,nt,1.0014870310080501,50.65776208945549,88.95160064179915,0.09564725001109764
magnetic_concave_polygon_orbital,spectral,degree_8,nt,1.004070316031148,50.78843121851812,89.1912705666953,0.09964933304581791
magnetic_concave_polygon_orbital,spectral,degree_12,nt,1.0025264433081353,50.710338208147284,89.07009747860268,0.12705562496557832
magnetic_concave_polygon_orbital,spectral,degree_24,nt,1.2286889406731836,62.15021274505842,106.61833654840365,1.267891708004754
gravity_sloping_polygon_orbital,gauss_legendre,order_4,mgal,0.00016176361247999054,0.001499299878854824,0.004975073268181212,0.014900874986778945
gravity_sloping_polygon_orbital,gauss_legendre,order_8,mgal,1.816062421089312e-08,1.6832105355391994e-07,6.138004910630868e-07,0.014321082970127463
gravity_sloping_polygon_orbital,gauss_legendre,order_16,mgal,2.48606720721267e-15,2.3042019187473114e-14,1.0069595836255179e-13,0.013794084021355957
